a	b c d
1	கிற் த் வ்
2	கிற் த் வ்
3	கிற் த்த் வ்
4	கிற் ட் வ்
5	கிற் ற் வ்
6	கிற் ந்த் வ்
7	கிற் ந்த் வ்
8	கிற் ந்த் வ்
9	கிற் ந்த் வ்
10	கிற் ந்த் வ்
11	கிற் ற் வ்
12	கிற் ட் வ்
13	கிற் ற் வ்
14	கிற் ட் வ்
15	கிற் இன் வ்
16	கிற் ன் வ்
17	கிற் ன் வ்
18	கிற் ற் ப்
19	கிற் ட் ப்
20	கிற் ட் வ்
21	கிற் ட் ப்
22	கிற் ட் ப்
23	கிற் ற் ப்
24	கிற் ற் ப்
25	க்கிற் த்த் ப்ப்
26	க்கிற் ந்த் ப்ப்
27	கிற் ற் ப்
28	கிற் ற் ப்
29	கிற் இன் வ்
30	கிற் இன் வ்
32	கிற் ந்த் வ்
